,x,y,z,rf
960,108,221,19,-21
961,107,221,19,-25
962,106,221,19,-25
963,105,221,19,-28
964,104,221,19,-32
965,103,221,19,-23
966,102,221,19,-28
967,101,221,19,-24
968,100,221,19,-28
969,99,221,19,-26
970,98,221,19,-25
971,97,221,19,-26
972,96,221,19,-30
973,95,221,19,-27
974,94,221,19,-22
975,93,221,19,-25
976,92,221,19,-25
977,91,221,19,-29
978,90,221,19,-25
979,89,221,19,-29
980,88,221,19,-28
981,87,221,19,-23
982,86,221,19,-22
983,85,221,19,-28
984,85,222,19,-25
985,86,222,19,-25
986,87,222,19,-25
987,88,222,19,-30
988,89,222,19,-24
989,90,222,19,-25
990,91,222,19,-32
991,92,222,19,-24
992,93,222,19,-25
993,94,222,19,-29
994,95,222,19,-24
995,96,222,19,-25
996,97,222,19,-27
997,98,222,19,-33
998,99,222,19,-30
999,100,222,19,-28
1000,101,222,19,-24
1001,102,222,19,-25
1002,103,222,19,-30
1003,104,222,19,-25
1004,105,222,19,-24
1005,106,222,19,-26
1006,107,222,19,-27
1007,108,222,19,-27
1008,109,222,19,-34
1009,110,222,19,-19
1010,111,222,19,-22
1011,112,222,19,-27
1012,113,222,19,-25
1013,114,222,19,-24
1014,115,222,19,-26
1015,116,222,19,-25
1016,117,222,19,-24
1017,118,222,19,-26
1018,119,222,19,-24
1019,120,222,19,-28
1020,121,222,19,-23
1021,122,222,19,-25
1022,123,222,19,-30
1023,124,222,19,-29
1024,125,222,19,-27
1025,125,223,19,-22
1026,124,223,19,-21
1027,123,223,19,-24
1028,122,223,19,-27
1029,121,223,19,-29
1030,120,223,19,-28
1031,119,223,19,-25
1032,118,223,19,-27
1033,117,223,19,-24
1034,116,223,19,-29
1035,115,223,19,-29
1036,114,223,19,-25
1037,113,223,19,-24
1038,112,223,19,-25
1039,111,223,19,-24
1040,110,223,19,-22
1041,109,223,19,-28
1042,108,223,19,-23
1043,107,223,19,-28
1044,106,223,19,-24
1045,105,223,19,-23
1046,104,223,19,-31
1047,103,223,19,-27
1048,102,223,19,-26
1049,101,223,19,-27
1050,100,223,19,-23
1051,99,223,19,-29
1052,98,223,19,-26
1053,97,223,19,-19
1054,96,223,19,-22
1055,95,223,19,-26
1056,94,223,19,-25
1057,93,223,19,-30
1058,92,223,19,-26
1059,91,223,19,-28
1060,90,223,19,-22
1061,89,223,19,-25
1062,88,223,19,-29
1063,87,223,19,-25
1064,86,223,19,-25
1065,85,223,19,-25
1066,85,224,19,-21
1067,86,224,19,-27
1068,87,224,19,-27
1069,88,224,19,-23
1070,89,224,19,-25
1071,90,224,19,-21
1072,91,224,19,-26
1073,92,224,19,-24
1074,93,224,19,-28
1075,94,224,19,-23
1076,95,224,19,-26
1077,96,224,19,-22
1078,97,224,19,-26
1079,98,224,19,-32
1080,99,224,19,-30
1081,100,224,19,-26
1082,101,224,19,-26
1083,102,224,19,-31
1084,103,224,19,-24
1085,104,224,19,-24
1086,105,224,19,-27
1087,106,224,19,-27
1088,107,224,19,-25
1089,108,224,19,-24
1090,109,224,19,-27
1091,110,224,19,-28
1092,111,224,19,-20
1093,112,224,19,-31
1094,113,224,19,-31
1095,114,224,19,-28
1096,115,224,19,-22
1097,116,224,19,-28
1098,117,224,19,-25
1099,118,224,19,-32
1100,119,224,19,-21
1101,120,224,19,-21
1102,121,224,19,-23
1103,122,224,19,-26
1104,123,224,19,-26
1105,124,224,19,-25
1106,125,224,19,-28
1107,125,225,19,-23
1108,124,225,19,-27
1109,123,225,19,-24
1110,122,225,19,-22
1111,121,225,19,-24
1112,120,225,19,-27
1113,119,225,19,-25
1114,118,225,19,-25
1115,117,225,19,-27
1116,116,225,19,-25
1117,115,225,19,-27
1118,114,225,19,-22
1119,113,225,19,-28
1120,112,225,19,-27
1121,111,225,19,-28
1122,110,225,19,-27
1123,109,225,19,-29
1124,108,225,19,-30
1125,107,225,19,-29
1126,106,225,19,-23
1127,105,225,19,-25
1128,104,225,19,-22
1129,103,225,19,-31
1130,102,225,19,-25
1131,101,225,19,-31
1132,100,225,19,-25
1133,99,225,19,-27
1134,98,225,19,-26
1135,97,225,19,-26
1136,96,225,19,-26
1137,95,225,19,-24
1138,94,225,19,-27
1139,93,225,19,-30
1140,92,225,19,-27
1141,91,225,19,-26
1142,90,225,19,-26
1143,89,225,19,-27
1144,88,225,19,-27
1145,87,225,19,-24
1146,86,225,19,-25
1147,85,225,19,-25
1148,85,226,19,-25
1149,86,226,19,-28
1150,87,226,19,-24
1151,88,226,19,-28
1152,89,226,19,-24
1153,90,226,19,-25
1154,91,226,19,-26
1155,92,226,19,-26
1156,93,226,19,-26
1157,94,226,19,-22
1158,95,226,19,-27
1159,96,226,19,-25
1160,97,226,19,-24
1161,98,226,19,-28
1162,99,226,19,-28
1163,100,226,19,-29
1164,101,226,19,-25
1165,102,226,19,-27
1166,103,226,19,-27
1167,104,226,19,-27
1168,105,226,19,-26
1169,106,226,19,-26
1170,107,226,19,-26
1171,108,226,19,-25
1172,109,226,19,-25
1173,110,226,19,-25
1174,111,226,19,-25
1175,112,226,19,-25
1176,113,226,19,-31
1177,114,226,19,-27
1178,115,226,19,-24
1179,116,226,19,-29
1180,117,226,19,-27
1181,118,226,19,-31
1182,119,226,19,-26
1183,120,226,19,-31
1184,121,226,19,-23
1185,122,226,19,-25
1186,123,226,19,-29
1187,124,226,19,-26
1188,125,226,19,-29
1189,125,227,19,-29
1190,124,227,19,-27
1191,123,227,19,-25
1192,122,227,19,-32
1193,121,227,19,-27
1194,120,227,19,-30
1195,119,227,19,-25
1196,118,227,19,-23
1197,117,227,19,-29
1198,116,227,19,-29
1199,115,227,19,-27
1200,114,227,19,-23
1201,113,227,19,-26
1202,112,227,19,-25
1203,111,227,19,-23
1204,110,227,19,-24
1205,109,227,19,-33
1206,108,227,19,-31
1207,107,227,19,-26
1208,106,227,19,-22
1209,105,227,19,-27
1210,104,227,19,-27
1211,103,227,19,-25
1212,102,227,19,-31
1213,101,227,19,-25
1214,100,227,19,-28
1215,99,227,19,-27
1216,98,227,19,-27
1217,97,227,19,-28
1218,96,227,19,-24
1219,95,227,19,-23
1220,94,227,19,-27
1221,93,227,19,-26
1222,92,227,19,-29
1223,91,227,19,-28
1224,90,227,19,-27
1225,89,227,19,-21
1226,88,227,19,-26
1227,87,227,19,-23
